Machine_ID,Temperature,Run_Time,Downtime_Flag
M_1,76.96511535309233,378,0
M_2,54.83511472271786,453,1
M_3,90.69131335427369,405,0
M_4,82.95959633422501,434,0
M_5,74.88786245789635,245,0
M_6,57.57030370910771,122,0
M_7,54.75004045930374,198,1
M_8,96.19201815156418,196,1
M_9,87.06183678943282,108,1
M_10,75.5027736469452,104,0
M_11,71.7956572623936,291,0
M_12,95.10041634425602,385,0
M_13,74.11269222267674,152,0
M_14,62.546668102904476,327,0
M_15,89.65570757996352,494,1
M_16,85.02274290117546,274,0
M_17,63.368952352859466,492,0
M_18,67.03768837623616,304,0
M_19,84.0434060995398,474,1
M_20,82.02899121037578,292,0
M_21,90.82891531323193,335,0
M_22,64.47268683442981,127,1
M_23,99.13693108393427,341,0
M_24,98.46256323034444,284,0
M_25,95.5697791069377,225,0
M_26,82.9790679570703,190,1
M_27,50.1858803262919,218,0
M_28,59.29173252151956,409,1
M_29,66.44225116234222,141,1
M_30,70.48322297801063,298,0
M_31,77.43845636533726,426,1
M_32,69.6383415311824,275,0
M_33,52.867706893137765,168,1
M_34,70.69767516701228,308,0
M_35,80.6046455338531,378,0
M_36,86.94187409303103,452,0
M_37,53.73475447191729,154,1
M_38,76.9766779439527,484,0
M_39,91.20807609212372,164,0
M_40,63.75684820357027,136,1
M_41,62.50690844366628,434,1
M_42,95.22334160644198,267,0
M_43,60.6719176308831,137,1
M_44,61.37781661654614,161,0
M_45,61.66929233418194,149,1
M_46,77.26540659673793,162,0
M_47,85.47236460227421,178,0
M_48,53.06308871245823,365,0
M_49,54.68261328643392,297,1
M_50,90.3787626345945,340,0
M_51,99.06130509200162,151,0
M_52,89.05969635153754,464,1
M_53,54.66535795958756,359,1
M_54,73.99753724327125,308,1
M_55,50.44115227495423,356,1
M_56,83.86970439146492,176,0
M_57,95.58706343171886,330,1
M_58,66.57224564597392,162,0
M_59,70.98355334611618,464,0
M_60,50.010629334261615,415,0
M_61,80.26857864472129,348,1
M_62,86.39714899660419,228,1
M_63,95.78472878367856,160,1
M_64,71.15888272986737,317,1
M_65,64.98444799411855,261,1
M_66,71.52647168333505,410,1
M_67,93.48825903346057,320,1
M_68,84.14040048709408,443,1
M_69,88.565503183212,462,0
M_70,73.1539209606224,184,1
M_71,94.93296049087769,379,0
M_72,96.81606997179767,408,1
M_73,89.87029603273217,110,0
M_74,52.32920047272548,327,0
M_75,86.0599707643539,134,1
M_76,98.48923464907449,233,0
M_77,89.4677251245035,181,0
M_78,95.72451949164541,202,1
M_79,99.45799684546265,173,0
M_80,93.50077537053029,297,1
M_81,98.79692599919298,349,0
M_82,51.11470372406263,411,1
M_83,94.10374730197896,356,1
M_84,59.40819333262298,368,1
M_85,71.4839605412646,474,1
M_86,60.23512787792216,171,0
M_87,72.8146155151062,331,0
M_88,64.3553884198553,139,0
M_89,88.1583220629631,447,0
M_90,58.03956799583042,143,0
M_91,62.802000369688336,280,0
M_92,83.39457794321969,155,0
M_93,90.69943556493823,351,1
M_94,87.53624729566678,350,0
M_95,92.0275893256894,442,1
M_96,77.0205728464829,124,0
M_97,53.880904483813005,381,0
M_98,65.50741275938235,415,0
M_99,71.53163070254647,309,0
M_100,98.25900452467215,122,0
M_101,59.73668578482556,389,0
M_102,84.33451571758675,302,0
M_103,51.34874197487553,338,1
M_104,99.44455248056961,172,0
M_105,97.46592832297219,293,1
M_106,52.004647500938304,305,1
M_107,59.94919728908541,198,0
M_108,75.11379396019103,364,1
M_109,66.31610867370499,121,0
M_110,70.82375471465163,149,0
M_111,86.21110382407508,371,1
M_112,90.02951516677375,286,1
M_113,90.88510721702909,491,1
M_114,51.45698125099795,350,0
M_115,89.84836400447386,230,1
M_116,61.46608254713175,479,0
M_117,71.03115256657154,223,1
M_118,67.13868809381063,162,1
M_119,55.34646545482782,418,1
M_120,64.55838457056632,336,0
M_121,64.12775859881341,466,0
M_122,78.22865234506928,279,0
M_123,53.23358723261954,232,1
M_124,91.03646174292442,420,1
M_125,89.80836862439729,473,0
M_126,91.04703142561237,218,1
M_127,53.19782945647504,471,0
M_128,61.96421402900093,205,1
M_129,60.60337679295922,124,1
M_130,74.77675429661576,362,0
M_131,93.70115673483485,384,1
M_132,59.377515550373815,499,0
M_133,55.89321961276211,223,0
M_134,51.4393380999165,105,0
M_135,74.93665676591128,147,1
M_136,55.28744909092707,323,1
M_137,53.18428519043539,139,1
M_138,51.49698331073295,219,1
M_139,74.42641548512464,420,1
M_140,74.86023185332897,480,1
M_141,78.53793448053898,204,1
M_142,56.81680228764771,345,1
M_143,99.31045075342008,432,0
M_144,64.01680438143458,494,0
M_145,67.90799728661338,421,0
M_146,92.68015428507942,302,1
M_147,66.21370867936668,408,1
M_148,69.6823108995999,219,0
M_149,72.3583008773887,233,1
M_150,84.5397285691489,289,0
M_151,86.48874649346376,237,0
M_152,92.94607849004757,135,1
M_153,75.85345051246165,263,0
M_154,54.348479796919015,436,1
M_155,60.75996111185983,272,0
M_156,54.8908964856334,148,1
M_157,67.90723120839185,159,0
M_158,99.61090644588084,399,0
M_159,85.13146971262944,128,0
M_160,51.98271242739014,165,0
M_161,89.20732301856536,179,1
M_162,66.644430523605,466,0
M_163,90.10589891744299,125,1
M_164,56.13416884100057,317,1
M_165,85.36465199149913,462,1
M_166,75.20301202727495,428,1
M_167,83.0963929974108,494,0
M_168,78.04325431646446,328,1
M_169,56.427856941089985,440,0
M_170,60.34192290186198,227,1
M_171,59.601101047789044,122,0
M_172,60.870577621086845,415,0
M_173,83.89113441248537,237,1
M_174,66.56715730835361,287,0
M_175,62.81580967763353,195,1
M_176,56.66826504476094,302,1
M_177,94.43333340257061,104,0
M_178,63.30092643001281,306,1
M_179,67.20616600698304,156,0
M_180,66.88025791130562,178,0
M_181,60.61834766436697,352,0
M_182,93.52598401342948,301,0
M_183,69.15452412482449,388,0
M_184,62.900410424305505,296,1
M_185,67.16098029566596,251,1
M_186,70.0592611411076,431,1
M_187,73.2298578952888,351,1
M_188,61.22511635246004,291,1
M_189,69.49157748635271,433,0
M_190,69.24496004335938,139,0
M_191,88.9412530912741,152,0
M_192,76.154318480294,486,1
M_193,97.11944915176431,255,1
M_194,81.0842744828029,193,1
M_195,99.66257407206803,444,1
M_196,51.259200185336304,329,0
M_197,61.42731997698746,109,1
M_198,70.93214883335895,455,0
M_199,88.1594954475882,484,1
M_200,95.57048884531892,349,1
M_201,74.13055582163979,232,1
M_202,80.07596859612873,377,1
M_203,50.84158855074671,421,1
M_204,59.609278150172486,370,0
M_205,73.5166271887745,223,1
M_206,72.75020125532825,326,0
M_207,58.49280108730472,189,1
M_208,68.84353276145009,147,1
M_209,77.9014331214315,167,1
M_210,77.22910639046674,217,1
M_211,73.73868657798235,385,1
M_212,53.71189498699883,419,0
M_213,84.36203531222803,461,0
M_214,65.24545483052582,404,1
M_215,77.8293465165956,274,1
M_216,75.47980733873405,164,0
M_217,82.02816257595059,110,0
M_218,89.4870859982646,105,1
M_219,75.3438043047873,343,0
M_220,68.27999664555423,253,0
M_221,58.43944761532303,209,0
M_222,94.22503839870609,480,1
M_223,63.643545516930416,487,0
M_224,77.82264722625767,479,1
M_225,99.91065934275073,159,0
M_226,64.84237130722869,323,0
M_227,94.52978576521087,408,0
M_228,91.51722368692361,378,1
M_229,95.3646577632611,135,0
M_230,54.27914787322176,276,0
M_231,73.65349381846777,139,0
M_232,89.47666744206438,429,0
M_233,97.7720929607571,427,1
M_234,96.26906503395799,424,0
M_235,57.04710884149802,112,0
M_236,69.15519202608519,164,0
M_237,78.9138127393918,184,0
M_238,88.10421211189268,173,1
M_239,99.50441202243711,406,0
M_240,72.59384389623742,228,1
M_241,51.565577397468076,429,0
M_242,88.03934386942198,296,1
M_243,92.28987535647447,399,1
M_244,65.24700380485632,431,1
M_245,97.50870471811123,112,0
M_246,60.07978640834074,342,1
M_247,93.6670488739387,469,1
M_248,97.17298164677874,151,0
M_249,93.20762194842952,258,0
M_250,96.68144587566792,341,0
M_251,86.16630564985711,343,1
M_252,54.491205527511795,226,0
M_253,99.62470403057773,344,0
M_254,99.80240980036906,444,0
M_255,93.02163885581002,354,0
M_256,87.79327728214359,316,1
M_257,70.61195077373236,416,0
M_258,54.739632569160406,112,1
M_259,97.49642705187716,442,1
M_260,53.126063469361426,229,1
M_261,87.45175018450293,199,0
M_262,65.79460799527097,221,0
M_263,73.43518164533103,204,1
M_264,55.650277915849315,143,0
M_265,57.40873555312403,269,1
M_266,96.79402252687677,422,0
M_267,81.38932866557661,496,1
M_268,51.885997481171735,116,1
M_269,54.09516538180039,427,1
M_270,53.95668660094736,461,1
M_271,82.51799423160527,172,1
M_272,90.24681251210791,425,1
M_273,94.26001464004108,385,1
M_274,53.06818153567494,484,1
M_275,78.15148305936437,135,0
M_276,61.68484217899569,483,1
M_277,80.9197168110137,147,0
M_278,61.78313148303448,279,1
M_279,86.40888754505201,107,0
M_280,59.959600544515325,341,1
M_281,98.19385119376763,313,0
M_282,65.87912858517997,175,1
M_283,73.97804900465563,398,0
M_284,97.12134411962924,240,1
M_285,50.05183096921228,423,1
M_286,83.8124935094308,280,0
M_287,96.58147438940927,486,0
M_288,54.585694506004316,388,0
M_289,51.26884864183178,192,0
M_290,83.26044588105654,451,1
M_291,84.74689702317052,163,0
M_292,66.94713813503702,443,1
M_293,94.51201978072062,245,0
M_294,53.757051989424156,268,0
M_295,84.48076674855545,459,0
M_296,97.06596383942673,436,1
M_297,83.3553092084374,199,0
M_298,86.85059799218767,218,1
M_299,70.75971045810417,103,0
M_300,55.5503031750295,178,1
M_301,76.6971208088105,221,1
M_302,64.60265498818552,322,0
M_303,56.36346650621533,483,0
M_304,61.90781071268507,465,0
M_305,70.5559779624201,462,1
M_306,96.31942775793047,327,1
M_307,71.2454951796705,443,1
M_308,77.95627983963709,255,1
M_309,70.7978231443257,393,1
M_310,92.02224388069551,398,1
M_311,83.6299244328909,136,1
M_312,63.66304987120535,145,0
M_313,90.05298623838436,172,0
M_314,73.96183518555121,252,0
M_315,93.80561898790312,417,0
M_316,96.132457337013,222,1
M_317,65.36315253114279,358,0
M_318,50.95624797459779,237,0
M_319,79.74707915172687,215,1
M_320,78.64975069548967,424,1
M_321,53.507674300743865,412,1
M_322,89.503602915338,102,1
M_323,82.76750967717585,484,0
M_324,62.684291151667196,342,0
M_325,81.83377044338451,334,0
M_326,63.66376614195987,397,0
M_327,68.04237073235387,347,0
M_328,60.42029001823896,171,0
M_329,52.53670237511228,467,0
M_330,88.34465463459986,338,0
M_331,54.52290721245408,331,1
M_332,78.01780613948519,399,0
M_333,93.55040410841494,439,0
M_334,84.74542306023915,236,0
M_335,74.74176827585454,392,0
M_336,83.9759888168241,168,0
M_337,50.37221291592192,250,1
M_338,82.8916446214954,103,1
M_339,71.82270271933804,379,0
M_340,64.73636538586723,104,0
M_341,99.49240573192765,370,0
M_342,56.450463042192276,108,0
M_343,50.95435243907266,157,1
M_344,57.36287784852655,345,1
M_345,80.38801155926784,120,1
M_346,75.1694619848224,320,0
M_347,66.17288498010531,256,1
M_348,88.34432970481359,143,0
M_349,53.08381478623133,447,0
M_350,59.457957925016466,106,1
M_351,87.69454773212739,193,0
M_352,72.80968701696185,136,0
M_353,91.03453982071146,259,1
M_354,96.84893848805197,406,1
M_355,54.72738495800443,390,0
M_356,65.90232534157194,277,1
M_357,66.82485145776673,145,1
M_358,91.25563350053321,306,0
M_359,77.33033779664467,315,0
M_360,54.294646694557585,346,1
M_361,73.69592206798853,466,1
M_362,69.77567578393783,157,0
M_363,54.29205481827722,282,0
M_364,90.15494717208327,298,1
M_365,71.22189179664113,218,0
M_366,90.87330138078767,119,0
M_367,87.31189787436206,490,1
M_368,78.71246705407962,157,0
M_369,70.91300896899592,418,0
M_370,82.60171400683242,125,1
M_371,53.943901386096364,284,1
M_372,70.65469391692521,147,0
M_373,79.64356204526348,428,0
M_374,66.09064315235362,153,0
M_375,87.87820884080216,389,1
M_376,60.43670218662291,189,0
M_377,52.400875657057775,417,1
M_378,88.33999145861586,385,1
M_379,87.43724132944931,116,1
M_380,89.98189690663469,155,0
M_381,92.25910222557073,328,1
M_382,74.83689470791563,174,1
M_383,93.22868298923538,343,0
M_384,64.57629340300889,299,1
M_385,97.90841439799121,240,1
M_386,57.59589718470087,284,0
M_387,93.61040380352446,190,1
M_388,95.45578425951226,125,1
M_389,67.89209897123324,221,1
M_390,77.04637396240152,139,0
M_391,86.5818451172704,218,1
M_392,83.7127721935349,463,0
M_393,72.57942657565334,219,0
M_394,98.450675466284,223,0
M_395,71.38690549366132,359,0
M_396,74.43767495970746,263,0
M_397,69.77887653030416,257,1
M_398,66.98118313675263,169,1
M_399,74.37719699378917,163,0
M_400,79.68307670681287,236,1
M_401,83.40899193433873,356,1
M_402,75.1249528190544,300,1
M_403,56.38926999422165,463,1
M_404,83.34143811724374,396,1
M_405,85.96010474733583,412,1
M_406,90.87264883443393,489,0
M_407,72.00379494546976,132,1
M_408,96.00601483134207,321,1
M_409,50.70866237882736,340,1
M_410,98.01272730230582,118,0
M_411,79.6312729531709,411,1
M_412,97.0862617221511,139,1
M_413,67.58014299327161,139,1
M_414,61.171815763583695,244,0
M_415,73.0349744100199,388,0
M_416,67.70966831564492,254,0
M_417,70.60734871533965,448,1
M_418,64.34093419912091,146,0
M_419,90.363860572719,483,1
M_420,78.25553547361598,323,1
M_421,86.89409744784399,428,1
M_422,66.9260464237559,237,1
M_423,67.09273155285256,464,0
M_424,85.29764167318766,103,0
M_425,57.56939569761646,260,1
M_426,73.81464745126846,469,1
M_427,64.88374127125552,362,1
M_428,91.98539464450499,220,0
M_429,89.30376031367086,205,0
M_430,56.407932106964935,147,0
M_431,64.75571607762825,287,1
M_432,68.82186288063033,137,0
M_433,95.47930182036126,400,1
M_434,55.605979183412394,423,1
M_435,90.85299945075374,499,1
M_436,94.93380076901035,328,1
M_437,96.25756078400622,242,0
M_438,59.326130778896456,181,0
M_439,94.77369695620278,354,0
M_440,95.79405365302706,167,1
M_441,57.145225192366354,343,1
M_442,79.83643121264421,216,1
M_443,64.68602262834642,481,0
M_444,89.11653494049094,370,1
M_445,78.7321855578581,252,1
M_446,66.06600305364572,155,1
M_447,71.97162517136951,300,0
M_448,66.90391816569385,275,1
M_449,76.36537043805163,396,0
M_450,72.05878002361871,327,0
M_451,85.25401750291665,212,1
M_452,67.15785629776093,213,1
M_453,86.89565953648702,479,1
M_454,78.79495183622419,265,1
M_455,92.31223620887008,378,0
M_456,89.03008587256429,431,1
M_457,76.40935938416642,212,0
M_458,91.20764680985019,457,0
M_459,59.55248146488478,215,0
M_460,78.78798947377447,281,0
M_461,83.35898012292105,498,1
M_462,89.8828379177691,467,0
M_463,83.68983645094997,497,1
M_464,54.69525074680745,134,0
M_465,71.32048135771981,116,0
M_466,64.71957821452501,472,0
M_467,93.38840590755589,288,0
M_468,51.396299640154716,159,0
M_469,97.1618232567586,418,1
M_470,83.38123442048837,349,1
M_471,62.30971345188161,322,1
M_472,58.40849341714494,469,0
M_473,91.13315748716887,442,1
M_474,60.365709576205425,116,1
M_475,86.01081968007351,221,0
M_476,65.23720440162914,476,1
M_477,69.48100234689905,129,0
M_478,98.56910938926357,143,0
M_479,67.80087402205301,376,0
M_480,58.266528366238376,147,0
M_481,58.399804500701364,209,1
M_482,82.05419032448788,403,0
M_483,78.03094555585946,367,0
M_484,58.59753714159828,122,1
M_485,73.31811221976054,357,0
M_486,94.93741426477175,288,0
M_487,81.25254014975437,390,0
M_488,82.73759999926105,499,0
M_489,88.72700349350617,342,1
M_490,75.39522073541116,468,0
M_491,69.52947807899386,267,1
M_492,71.88082414044842,134,1
M_493,84.36459881061924,282,1
M_494,93.12197833826562,138,1
M_495,68.41701894695018,405,1
M_496,81.27237735363803,343,1
M_497,60.6069727164798,140,1
M_498,97.61790190721598,145,1
M_499,67.89861097268728,206,1
M_500,90.90684386798614,429,1
M_501,68.36900859446365,237,1
M_502,56.49683180690447,364,0
M_503,78.16864056105554,162,0
M_504,74.43333705825218,248,0
M_505,91.43747126940694,151,0
M_506,83.67278854933537,278,1
M_507,91.16507091386973,436,0
M_508,88.90753590887364,449,0
M_509,75.9114454206242,488,0
M_510,94.5393338306541,173,1
M_511,60.99799216418966,125,0
M_512,56.55106479208295,299,1
M_513,76.37752414267094,220,0
M_514,57.73750875735453,285,0
